type,id
0x08a57716ed0d4c965e5ae062f370f7a0e637ac4bcb017d26bca1f0013316b029,bottles::AdminCap<0x98c8b10337a98bc3f844253a6075e6db911948880346b989f6650364a09f76f0::bottles::BOTTLES>
0x3811685776bedf4af159128144edd470e7ba28a3878c6884bfe5c83ee4dda635,bottles::Dispenser
0x4b022ead7a2213b2f16bbb2530c850a636a6efc5e9832f16edfd8ce84fc07849,collection::Collection<0x98c8b10337a98bc3f844253a6075e6db911948880346b989f6650364a09f76f0::bottles::FilledBottle>
0xd6f33a3db31bcc87b2389616d9818ce24a6012730d150c51e92ee567af27477f,collection::Collection<0x98c8b10337a98bc3f844253a6075e6db911948880346b989f6650364a09f76f0::bottles::EmptyBottle>
